FECHA|IP ORIGEN|PAIS ORIGEN
14-01-2022 08:11|::1|N/A
14-01-2022 08:32|::1|N/A
14-01-2022 10:45|::1|N/A
14-01-2022 11:20|::1|N/A
14-01-2022 13:10|::1|N/A
14-01-2022 13:53|::1|N/A
14-01-2022 13:57|::1|N/A
14-01-2022 16:02|::1|N/A
14-01-2022 16:19|::1|N/A
14-01-2022 17:37|::1|N/A
14-01-2022 17:53|::1|N/A
14-01-2022 17:57|::1|N/A
14-01-2022 19:09|::1|N/A
14-01-2022 19:15|::1|N/A
14-01-2022 26:20|::1|N/A
14-01-2022 27:00|::1|N/A
14-01-2022 27:09|::1|N/A
15-01-2022 43:20|::1|N/A
15-01-2022 43:40|::1|N/A
15-01-2022 43:47|::1|N/A
16-01-2022 13:18|::1|N/A
16-01-2022 13:26|::1|N/A
16-01-2022 13:30|::1|N/A
16-01-2022 14:17|::1|N/A
16-01-2022 15:18|::1|N/A
16-01-2022 16:19|::1|N/A
16-01-2022 16:57|::1|N/A
16-01-2022 17:37|::1|N/A
16-01-2022 18:59|::1|N/A
16-01-2022 19:59|::1|N/A
16-01-2022 20:29|::1|N/A
16-01-2022 20:50|::1|N/A
16-01-2022 24:31|::1|N/A
16-01-2022 25:37|::1|N/A
16-01-2022 25:39|::1|N/A
16-01-2022 25:50|::1|N/A
16-01-2022 26:03|::1|N/A
16-01-2022 03:01|::1|N/A
16-01-2022 03:31|::1|N/A
16-01-2022 03:52|::1|N/A
16-01-2022 04:21|::1|N/A
16-01-2022 04:31|::1|N/A
16-01-2022 07:00|::1|N/A
16-01-2022 07:32|::1|N/A
16-01-2022 08:56|::1|N/A
16-01-2022 10:20|::1|N/A
16-01-2022 12:13|::1|N/A
16-01-2022 13:28|::1|N/A
16-01-2022 13:51|::1|N/A
16-01-2022 30:37|::1|N/A
16-01-2022 34:55|::1|N/A
16-01-2022 35:21|::1|N/A
16-01-2022 35:28|::1|N/A
16-01-2022 35:43|::1|N/A
16-01-2022 35:50|::1|N/A
16-01-2022 37:56|::1|N/A
16-01-2022 38:26|::1|N/A
16-01-2022 38:34|::1|N/A
16-01-2022 39:04|::1|N/A
16-01-2022 39:44|::1|N/A
16-01-2022 42:29|::1|N/A
16-01-2022 42:48|::1|N/A
16-01-2022 55:32|::1|N/A
16-01-2022 55:59|::1|N/A
16-01-2022 56:12|::1|N/A
16-01-2022 56:18|::1|N/A
16-01-2022 56:27|::1|N/A
16-01-2022 57:39|::1|N/A
16-01-2022 57:45|::1|N/A
16-01-2022 59:25|::1|N/A
17-01-2022 28:25|::1|N/A
25-01-2022 23:27|::1|N/A
25-01-2022 43:24|::1|N/A
